beta,n,n2,n_std,E,E_std,C,C_std,m,m_std,m2,m2_std,m4,m4_std,ms,ms_std,m2s,m2s_std,m4s,m4s_std,sus,sus_std,binder,binder_std,binders,binders_std
0.500000,0.531860,1.065220,0.011778,-0.231860,0.011778,0.125173,0.006166,-0.000150,0.001636,0.173990,0.003228,0.173990,0.003228,-0.001859,0.003734,0.447651,0.004893,0.447651,0.004893,0.086994,0.001614,0.666667,0.000000,0.666667,0.000000
1.000000,1.512660,4.624300,0.027910,-0.456330,0.013955,0.411360,0.015539,-0.000590,0.001942,0.097090,0.002959,0.097090,0.002959,-0.000870,0.002744,0.582050,0.005696,0.582050,0.005696,0.097086,0.002958,0.666667,0.000000,0.666667,0.000000
2.000000,3.999610,20.735990,0.036736,-0.699902,0.009184,0.369075,0.039699,-0.000400,0.000666,0.016710,0.001289,0.016710,0.001289,0.000033,0.002402,0.630821,0.001992,0.630821,0.001992,0.033419,0.002578,0.666667,0.000000,0.666667,0.000000
4.000000,8.387790,78.907050,0.037372,-0.748474,0.004672,0.081421,0.097512,-0.000095,0.000133,0.000285,0.000191,0.000285,0.000191,0.000005,0.000654,0.569106,0.000498,0.569106,0.000498,0.001140,0.000764,0.666667,0.000000,0.666667,0.000000
8.000000,16.785030,298.453890,0.071286,-0.749064,0.004455,-0.036727,0.162361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000219,0.000536,0.531818,0.000149,0.531818,0.000149,0.000000,0.000000,nan,nan,0.666667,0.000000
16.000000,33.584060,1161.567160,0.103240,-0.749502,0.003226,0.041678,0.194651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000174,0.000201,0.515362,0.000051,0.515362,0.000051,0.000000,0.000000,nan,nan,0.666667,0.000000
