beta,E,C,m,m2,m_s,m2_s,n
0.500000,-0.451513,0.102625,0.000006,0.003085,-0.000005,0.004078,22.448416
1.000000,-0.637956,0.321923,-0.000000,0.004129,-0.000001,0.005185,56.829154
2.000000,-0.857140,0.470530,-0.000001,0.013850,-0.000001,0.012100,141.713921
4.000000,-0.918420,0.062827,0.000000,0.038976,-0.000000,0.026010,299.115555
8.000000,-0.922041,0.012919,-0.000001,0.076675,-0.000000,0.049512,600.084973
16.000000,-0.923117,0.024506,-0.000001,0.150226,0.000000,0.096077,1201.271790
