beta,E,C,m,m2,m_s,m2_s,n
0.500000,-0.101928,0.053384,0.000014,0.018007,-0.000107,0.031399,1.407713
1.000000,-0.204724,0.191006,-0.000067,0.029004,-0.000112,0.051259,3.637796
2.000000,-0.343326,0.362409,0.000062,0.055329,0.000040,0.076289,9.493222
4.000000,-0.429625,0.272263,-0.000008,0.190872,0.000002,0.099207,21.747991
8.000000,-0.453259,0.101143,0.000029,0.568928,0.000009,0.106798,45.008556
16.000000,-0.456443,-0.000779,-0.000003,1.199445,0.000006,0.107524,90.424686
