beta,E,C,m,m2,m_s,m2_s,n
0.500000,-0.102063,0.053225,0.000005,0.003338,-0.000003,0.005106,11.266030
1.000000,-0.204529,0.186970,-0.000001,0.003593,-0.000001,0.006629,29.089827
2.000000,-0.341313,0.349371,0.000001,0.005848,-0.000002,0.009575,75.688119
4.000000,-0.418991,0.211547,-0.000000,0.011833,0.000001,0.013087,171.261702
8.000000,-0.437729,0.081190,-0.000000,0.023533,-0.000000,0.016428,352.117021
16.000000,-0.441779,0.039101,0.000000,0.048527,0.000000,0.019826,708.381796
