beta,E,C,m,m2,m_s,m2_s,n
0.500000,-0.101935,0.052957,-0.000011,0.006643,0.000016,0.010170,5.630959
1.000000,-0.204843,0.186595,-0.000007,0.007277,0.000007,0.013305,14.554972
2.000000,-0.341527,0.347167,0.000000,0.011793,0.000004,0.019095,37.857753
4.000000,-0.418810,0.214295,0.000000,0.023741,-0.000001,0.026157,85.607643
8.000000,-0.437801,0.100134,-0.000001,0.049830,-0.000000,0.032839,176.076993
16.000000,-0.442404,0.085547,0.000000,0.164313,-0.000000,0.038273,354.510884
