beta,E,C,m,m2,m_s,m2_s,n
0.500000,-0.454483,0.107897,-0.000024,0.013014,-0.000042,0.016558,5.635866
1.000000,-0.668142,0.398070,-0.000014,0.024960,-0.000020,0.023883,14.690277
2.000000,-0.898845,0.333041,-0.000027,0.088370,-0.000005,0.057177,36.763045
4.000000,-0.942580,0.076529,-0.000011,0.190075,0.000004,0.113814,76.325140
8.000000,-0.950889,0.048734,-0.000000,0.379061,0.000005,0.221446,153.713801
16.000000,-0.951802,-0.004269,0.000000,0.751223,0.000000,0.429702,307.661425
