beta,E,C,m,m2,m_s,m2_s,sus,n
2.020202,-0.900164,0.329702,-0.000005,0.089219,-0.000010,0.057842,0.180241,37.177029
1.010101,-0.672555,0.401281,-0.000004,0.025502,-0.000023,0.024170,0.025760,14.909973
0.673401,-0.530864,0.197501,0.000011,0.015177,0.000014,0.018109,0.010220,8.413349
0.505051,-0.458080,0.111029,-0.000028,0.013095,-0.000069,0.016657,0.006614,5.721860
0.404040,-0.414703,0.070556,0.000010,0.012389,0.000006,0.015914,0.005005,4.297071
0.336700,-0.384840,0.048405,-0.000037,0.012016,-0.000029,0.015262,0.004046,3.420016
0.288600,-0.364792,0.034294,0.000002,0.011659,0.000083,0.014696,0.003365,2.838865
0.252525,-0.349905,0.026268,0.000020,0.011339,-0.000033,0.014145,0.002863,2.423857
0.224467,-0.337787,0.020199,0.000087,0.010990,0.000066,0.013583,0.002467,2.111020
0.202020,-0.330151,0.016759,0.000111,0.010611,0.000083,0.013060,0.002144,1.875235
