beta,E,C,m,m2,m_s,m2_s,n
0.500000,-0.102247,0.053735,0.000002,0.001661,-0.000002,0.002560,22.543793
1.000000,-0.204495,0.189828,-0.000001,0.001784,0.000000,0.003322,58.175321
2.000000,-0.341377,0.352913,0.000000,0.002903,0.000000,0.004779,151.392493
4.000000,-0.418880,0.217681,0.000000,0.005898,0.000000,0.006541,342.466628
8.000000,-0.437674,0.075675,-0.000000,0.011729,0.000000,0.008211,704.178476
16.000000,-0.441838,0.045989,-0.000000,0.023188,0.000000,0.009909,1416.884072
